Time,angle_ref,zmp_ref,zmp_ft,iter
10.13,0.0000000000,0.0000000000,0.00006713,235
10.15,0.0000000000,0.0000000000,-0.00000174,236
10.19,0.0000000000,0.0000000000,0.00005479,237
10.23,0.0000000000,0.0000000000,0.00002916,238
10.27,0.0000000000,0.0000000000,0.00003530,239
10.32,0.0000000000,0.0000000000,0.00005179,240
10.36,0.0000000000,0.0000000000,-0.00002743,241
10.38,0.0000000000,0.0000000000,0.00001087,242
10.43,0.0000000000,0.0000000000,0.00004671,243
10.46,0.0000000000,0.0000000000,0.00005353,244
10.50,0.0000000000,0.0000000000,-0.00008470,245
10.58,0.0000000000,0.0000000000,0.00003899,246
10.62,0.0000000000,0.0000000000,0.00001989,247
10.65,0.0000000000,0.0000000000,0.00006556,248
10.69,0.0000000000,0.0000000000,0.00004415,249
10.73,0.0000000000,0.0000000000,0.00003403,250
10.76,0.0000000000,0.0000000000,0.00002902,251
10.78,0.0000000000,0.0000000000,0.00011596,252
10.81,0.0000000000,0.0000000000,-0.00002508,253
10.85,0.0000000000,0.0000000000,0.00003709,254
10.86,0.0000000000,0.0000000000,-0.00003100,255
10.93,0.0000000000,0.0000000000,0.00000371,256
10.96,0.0000000000,0.0000000000,0.00006547,257
10.98,0.0000000000,0.0000000000,0.00001098,258
11.02,0.0000000000,0.0000000000,0.00004625,259
11.06,0.0000000000,0.0000000000,0.00000878,260
11.08,0.0000000000,0.0000000000,-0.00003492,261
11.14,0.0000000000,0.0000000000,-0.00002449,262
11.20,0.0000000000,0.0000000000,-0.00001841,263
11.22,0.0000000000,0.0000000000,-0.00009157,264
11.25,0.0000000000,0.0000000000,-0.00004056,265
11.28,0.0000000000,0.0000000000,0.00005314,266
11.36,0.0000000000,0.0000000000,0.00003347,267
11.38,0.0000000000,0.0000000000,0.00009754,268
11.43,0.0000000000,0.0000000000,0.00005519,269
11.46,0.0000000000,0.0000000000,0.00003557,270
11.49,0.0000000000,0.0000000000,0.00001291,271
11.51,0.0000000000,0.0000000000,0.00001351,272
11.57,0.0000000000,0.0000000000,0.00003177,273
11.59,0.0000000000,0.0000000000,0.00001586,274
11.63,0.0000000000,0.0000000000,0.00001291,275
11.66,0.0000000000,0.0000000000,0.00005699,276
11.68,0.0000000000,0.0000000000,-0.00006009,277
11.73,0.0000000000,0.0000000000,0.00003095,278
11.78,0.0000000000,0.0000000000,0.00003034,279
11.80,0.0000000000,0.0000000000,0.00000553,280
11.84,0.0000000000,0.0000000000,-0.00006236,281
11.87,0.0000000000,0.0000000000,-0.00003527,282
11.89,0.0000000000,0.0000000000,0.00000764,283
11.92,0.0000000000,0.0000000000,-0.00002581,284
11.96,0.0000000000,0.0000000000,-0.00003756,285
11.98,0.0000000000,0.0000000000,-0.00007516,286
12.02,0.0000000000,0.0000000000,-0.00004285,287
12.05,0.0000000000,0.0000000000,0.00001721,288
12.09,0.0000000000,0.0000000000,0.00005806,289
12.11,0.0000000000,0.0000000000,0.00007067,290
12.17,0.0000000000,0.0000000000,0.00007055,291
12.19,0.0000000000,0.0000000000,0.00001756,292
12.23,0.0000000000,0.0000000000,0.00005307,293
12.25,0.0000000000,0.0000000000,-0.00004310,294
12.29,0.0000000000,0.0000000000,-0.00002080,295
12.32,0.0000000000,0.0000000000,-0.00004283,296
12.35,0.0000000000,0.0000000000,-0.00006621,297
12.39,0.0000000000,0.0000000000,-0.00005702,298
12.41,0.0000000000,0.0000000000,-0.00003220,299
12.44,0.0000000000,0.0000000000,0.00003941,300
12.47,-0.1925480664,0.0030000000,0.00004718,301
12.50,-0.3850983083,0.0060000001,0.00006568,302
12.53,-0.6145828962,0.0089999996,-0.00094087,303
12.56,-0.8104895353,0.0120000001,-0.00225628,304
12.59,-1.0294880867,0.0149999997,-0.00741836,305
12.62,-1.2334973812,0.0179999992,-0.00999976,306
12.65,-1.4469031096,0.0209999997,-0.01530749,307
12.68,-1.6544218063,0.0240000002,-0.01746188,308
12.71,-1.8655802011,0.0270000007,-0.02131199,309
12.74,-2.0744614601,0.0299999993,-0.02287535,310
12.77,-2.2847507000,0.0329999998,-0.02499545,311
12.82,-2.4941575527,0.0359999985,-0.02567256,312
12.84,-2.7041144371,0.0390000008,-0.02629784,313
12.93,-2.9137313366,0.0419999994,-0.02627286,314
12.98,-3.1235685349,0.0450000018,-0.01857008,315
13.00,-3.3332793713,0.0480000004,-0.01250964,316
13.03,-3.5430855751,0.0509999990,-0.01001567,317
13.06,-3.7528500557,0.0540000014,-0.00484066,318
13.10,-3.9626650810,0.0570000000,-0.00218941,319
13.12,-4.1724758148,0.0599999987,0.00187204,320
13.16,-4.3823194504,0.0630000010,0.00396118,321
13.19,-4.5921778679,0.0659999996,0.01159967,322
13.24,-4.8020658493,0.0689999983,0.01575454,323
13.27,-5.0119781494,0.0719999969,0.03027930,324
13.29,-5.2219233513,0.0750000030,0.03598341,325
13.32,-5.4318966866,0.0780000016,0.04590151,326
13.35,-5.6419067383,0.0810000002,0.05034734,327
13.39,-5.8519539833,0.0839999989,0.06233761,328
13.41,-6.0620369911,0.0869999975,0.06777867,329
13.44,-6.2721681595,0.0900000036,0.07436781,330
13.49,-6.2887687683,0.0900000036,0.07742772,331
13.50,-6.3053536415,0.0900000036,0.08156262,332
13.55,-6.2858023643,0.0900000036,0.08811910,333
13.57,-6.3012728691,0.0900000036,0.09288426,334
13.59,-6.2903785706,0.0900000036,0.10179936,335
13.62,-6.2976937294,0.0900000036,0.10593477,336
13.69,-6.2928881645,0.0900000036,0.11770558,337
13.71,-6.2960119247,0.0900000036,0.12163514,338
13.74,-6.2939920425,0.0900000036,0.12875004,339
13.78,-6.2952947617,0.0900000036,0.13134794,340
13.81,-6.2944555283,0.0900000036,0.13781971,341
13.84,-6.2949957848,0.0900000036,0.14022033,342
13.89,-6.2946481705,0.0900000036,0.14249898,343
13.92,-6.2948718071,0.0900000036,0.14356185,344
13.94,-6.2947278023,0.0900000036,0.14141631,345
13.96,-6.2948203087,0.0900000036,0.13984875,346
14.00,-6.2947607040,0.0900000036,0.13508147,347
14.03,-6.2947993279,0.0900000036,0.13158679,348
14.09,-6.2947745323,0.0900000036,0.12407207,349
14.11,-6.2947902679,0.0900000036,0.11552841,350
14.14,-6.2947802544,0.0900000036,0.10682996,351
14.20,-6.2947869301,0.0900000036,0.09778214,352
14.25,-6.2947826385,0.0900000036,0.08915599,353
14.28,-6.2947850227,0.0900000036,0.08079546,354
14.34,-6.2947835922,0.0900000036,0.06895636,355
14.37,-6.2947845459,0.0900000036,0.06565650,356
14.39,-6.2947840691,0.0900000036,0.06349060,357
14.43,-6.2947845459,0.0900000036,0.06033865,358
14.46,-6.2947840691,0.0900000036,0.05967706,359
14.50,-6.2947840691,0.0900000036,0.05943701,360
14.54,-6.2947840691,0.0900000036,0.06087903,361
14.56,-6.2947840691,0.0900000036,0.06451450,362
14.59,-6.2947840691,0.0900000036,0.06699727,363
14.65,-6.2947840691,0.0900000036,0.07324068,364
14.76,-6.2947840691,0.0900000036,0.08027717,365
14.78,-6.2947840691,0.0900000036,0.10186890,366
14.81,-6.2947840691,0.0900000036,0.10432457,367
14.86,-6.2947840691,0.0900000036,0.11119442,368
14.89,-6.2947840691,0.0900000036,0.11438277,369
14.91,-6.2947840691,0.0900000036,0.11641971,370
14.95,-6.2947840691,0.0900000036,0.11917451,371
14.99,-6.2947840691,0.0900000036,0.12028827,372
15.01,-6.2947840691,0.0900000036,0.12058479,373
15.06,-6.2947840691,0.0900000036,0.11751959,374
15.08,-6.2947840691,0.0900000036,0.11546578,375
15.10,-6.2947840691,0.0900000036,0.11307897,376
15.14,-6.2947840691,0.0900000036,0.11087225,377
15.18,-6.2947840691,0.0900000036,0.10546923,378
15.22,-6.2947840691,0.0900000036,0.10232352,379
15.24,-6.2947840691,0.0900000036,0.09555802,380
15.27,-6.2947840691,0.0900000036,0.08867970,381
15.30,-6.2947840691,0.0900000036,0.08515826,382
15.32,-6.2947840691,0.0900000036,0.07954492,383
15.37,-6.2947840691,0.0900000036,0.07662685,384
15.41,-6.2947840691,0.0900000036,0.07221461,385
15.43,-6.2947840691,0.0900000036,0.06911011,386
15.47,-6.2947840691,0.0900000036,0.06743502,387
15.51,-6.2947840691,0.0900000036,0.06727546,388
15.53,-6.2947840691,0.0900000036,0.06820375,389
15.61,-6.2947840691,0.0900000036,0.07109475,390
15.66,-6.2947840691,0.0900000036,0.07895140,391
15.70,-6.2947840691,0.0900000036,0.08845631,392
15.74,-6.2947840691,0.0900000036,0.09471583,393
15.77,-6.2947840691,0.0900000036,0.09755210,394
15.82,-6.2947840691,0.0900000036,0.10329832,395
15.84,-6.2947840691,0.0900000036,0.10911368,396
15.87,-6.2947840691,0.0900000036,0.11067434,397
15.89,-6.2947840691,0.0900000036,0.11146215,398
15.93,-6.2947840691,0.0900000036,0.11242265,399
15.95,-6.2947840691,0.0900000036,0.11208714,400
16.03,-6.2947840691,0.0900000036,0.11082432,401
16.06,-6.2947840691,0.0900000036,0.10624428,402
16.09,-6.2947840691,0.0900000036,0.10425543,403
16.14,-6.2947840691,0.0900000036,0.09818113,404
16.20,-6.2947840691,0.0900000036,0.09512182,405
16.22,-6.2947840691,0.0900000036,0.08851357,406
16.25,-6.2947840691,0.0900000036,0.08466574,407
16.30,-6.2947840691,0.0900000036,0.08291092,408
16.38,-6.2947840691,0.0900000036,0.07892749,409
16.41,-6.2947840691,0.0900000036,0.07694373,410
16.48,-6.2947840691,0.0900000036,0.07671140,411
16.51,-6.2947840691,0.0900000036,0.07908377,412
16.56,-6.2947840691,0.0900000036,0.08029125,413
16.59,-6.2947840691,0.0900000036,0.08312625,414
16.65,-6.2947840691,0.0900000036,0.08641883,415
16.67,-6.2947840691,0.0900000036,0.09147298,416
16.71,-6.2947840691,0.0900000036,0.09307265,417
16.75,-6.2947840691,0.0900000036,0.09615180,418
16.80,-6.2947840691,0.0900000036,0.10011404,419
16.83,-6.2947840691,0.0900000036,0.10155356,420
16.94,-6.2947840691,0.0900000036,0.10354522,421
16.97,-6.2947840691,0.0900000036,0.10298230,422
17.00,-6.2947840691,0.0900000036,0.10117849,423
17.06,-6.2947840691,0.0900000036,0.09786200,424
17.13,-6.2947840691,0.0900000036,0.09407792,425
17.15,-6.2947840691,0.0900000036,0.08905797,426
17.20,-6.2947840691,0.0900000036,0.08745685,427
17.22,-6.2947840691,0.0900000036,0.08464111,428
17.26,-6.2947840691,0.0900000036,0.08264811,429
17.29,-6.2947840691,0.0900000036,0.08172234,430
17.36,-6.2947840691,0.0900000036,0.08064052,431
17.41,-6.2947840691,0.0900000036,0.08116958,432
17.47,-6.2947840691,0.0900000036,0.08246580,433
17.50,-6.2947840691,0.0900000036,0.08582170,434
17.52,-6.2947840691,0.0900000036,0.08702037,435
17.61,-6.2947840691,0.0900000036,0.09230479,436
17.62,-6.2947840691,0.0900000036,0.09455170,437
17.66,-6.2947840691,0.0900000036,0.09586791,438
17.69,-6.2947840691,0.0900000036,0.09752163,439
17.71,-6.2947840691,0.0900000036,0.09830625,440
17.74,-6.2947840691,0.0900000036,0.09902988,441
17.77,-6.2947840691,0.0900000036,0.09907220,442
17.81,-6.2947840691,0.0900000036,0.09878017,443
17.86,-6.2947840691,0.0900000036,0.09873071,444
17.88,-6.2947840691,0.0900000036,0.09712275,445
17.97,-6.2947840691,0.0900000036,0.09651677,446
17.98,-6.2947840691,0.0900000036,0.09186114,447
18.06,-6.2947840691,0.0900000036,0.09047520,448
18.09,-6.2947840691,0.0900000036,0.08822478,449
18.12,-6.2947840691,0.0900000036,0.08646874,450
18.15,-6.2947840691,0.0900000036,0.08526121,451
18.17,-6.2947840691,0.0900000036,0.08524863,452
18.21,-6.2947840691,0.0900000036,0.08473531,453
18.24,-6.2947840691,0.0900000036,0.08456933,454
18.29,-6.2947840691,0.0900000036,0.08503717,455
18.33,-6.2947840691,0.0900000036,0.08582795,456
18.34,-6.2947840691,0.0900000036,0.08643401,457
18.38,-6.2947840691,0.0900000036,0.08757937,458
18.41,-6.2947840691,0.0900000036,0.08827677,459
18.43,-6.2947840691,0.0900000036,0.08993100,460
18.47,-6.2947840691,0.0900000036,0.09123342,461
18.50,-6.2947840691,0.0900000036,0.09240020,462
18.52,-6.2947840691,0.0900000036,0.09272940,463
18.55,-6.2947840691,0.0900000036,0.09422302,464
18.59,-6.2947840691,0.0900000036,0.09542458,465
18.61,-6.2947840691,0.0900000036,0.09536037,466
18.64,-6.2947840691,0.0900000036,0.09591400,467
18.68,-6.2947840691,0.0900000036,0.09574378,468
18.72,-6.2947840691,0.0900000036,0.09598543,469
18.74,-6.2947840691,0.0900000036,0.09539867,470
18.77,-6.2947840691,0.0900000036,0.09437087,471
18.81,-6.2947840691,0.0900000036,0.09399503,472
18.96,-6.2947840691,0.0900000036,0.09267090,473
19.01,-6.2947840691,0.0900000036,0.08828729,474
19.08,-6.2947840691,0.0900000036,0.08703836,475
19.14,-6.2947840691,0.0900000036,0.08679222,476
19.18,-6.2947840691,0.0900000036,0.08749332,477
19.21,-6.2947840691,0.0900000036,0.08869189,478
19.25,-6.2947840691,0.0900000036,0.08958375,479
19.31,-6.2947840691,0.0900000036,0.09007732,480
19.33,-6.2947840691,0.0900000036,0.09151300,481
19.36,-6.2947840691,0.0900000036,0.09223577,482
19.40,-6.2947840691,0.0900000036,0.09292899,483
19.42,-6.2947840691,0.0900000036,0.09325960,484
19.45,-6.2947840691,0.0900000036,0.09374909,485
19.48,-6.2947840691,0.0900000036,0.09355964,486
19.55,-6.2947840691,0.0900000036,0.09378007,487
19.56,-6.2947840691,0.0900000036,0.09374128,488
19.60,-6.2947840691,0.0900000036,0.09321184,489
19.62,-6.2947840691,0.0900000036,0.09271163,490
19.67,-6.2947840691,0.0900000036,0.09180501,491
19.69,-6.2947840691,0.0900000036,0.09147834,492
19.73,-6.2947840691,0.0900000036,0.09097838,493
19.77,-6.2947840691,0.0900000036,0.09003995,494
19.79,-6.2947840691,0.0900000036,0.08961501,495
19.81,-6.2947840691,0.0900000036,0.08941393,496
19.86,-6.2947840691,0.0900000036,0.08882789,497
19.90,-6.2947840691,0.0900000036,0.08897633,498
19.92,-6.2947840691,0.0900000036,0.08876423,499
19.96,-6.2947840691,0.0900000036,0.08855439,500
19.98,-6.2947840691,0.0900000036,0.08892354,501
20.03,-6.2947840691,0.0900000036,0.08908384,502
20.05,-6.2947840691,0.0900000036,0.08930659,503
20.09,-6.2947840691,0.0900000036,0.09010787,504
20.14,-6.2947840691,0.0900000036,0.09002809,505
20.17,-6.2947840691,0.0900000036,0.09083118,506
20.19,-6.2947840691,0.0900000036,0.09140438,507
20.23,-6.2947840691,0.0900000036,0.09195749,508
20.27,-6.2947840691,0.0900000036,0.09217863,509
20.32,-6.2947840691,0.0900000036,0.09242517,510
20.34,-6.2947840691,0.0900000036,0.09237713,511
20.39,-6.2947840691,0.0900000036,0.09271925,512
20.41,-6.2947840691,0.0900000036,0.09214936,513
20.45,-6.2947840691,0.0900000036,0.09175835,514
20.50,-6.2947840691,0.0900000036,0.09140666,515
20.51,-6.2947840691,0.0900000036,0.09114794,516
20.54,-6.2947840691,0.0900000036,0.09077412,517
20.57,-6.2947840691,0.0900000036,0.09021156,518
20.60,-6.2947840691,0.0900000036,0.09023613,519
20.63,-6.2947840691,0.0900000036,0.08969957,520
20.67,-6.2947840691,0.0900000036,0.08980092,521
20.70,-6.2947840691,0.0900000036,0.08959581,522
20.73,-6.2947840691,0.0900000036,0.08955529,523
20.75,-6.2947840691,0.0900000036,0.08968365,524
